"","A1_A","A1_B","AF_A","AF_B"
"LOC100240922",863.500624895657,1011.70102421379,1008.68631539151,1065.94287150045
"LOC100263179",15441.6001282213,7342.86179875801,16611.7086627312,7002.90340344505
"LOC100258040",735.983672149438,423.549436724423,459.679932785383,399.477648641412
"LOC100252909",75.3052870548538,101.37083675158,88.3227818452263,104.386119242982
"LOC100247793",2612.59142555639,2142.83897489726,2182.97784674281,2253.33497788937
"LOC100242660",3823.50044139844,2925.70286268174,2478.05623154391,3402.5860022472
"LOC100254575",102.415190394601,77.2827171274422,70.2567582859755,133.493787108814
"LOC100249467",2857.58462610819,3655.37215296291,3990.58387064341,3386.52659928674
"LOC100244311",2429.85059563662,3547.9792863053,2770.12361241846,3518.0129610255
"LOC100264947",81.3297100192421,138.506687838792,108.396141355505,111.412108038183
"LOC100259752",2214.97950990677,2664.74823342025,3000.96724678667,2314.56145167612
"LOC100261436",1.00407049406472,9.03304485905168,44.1613909226132,15.0556902754301
"LOC100254645",2000.10842417692,2545.31130695056,2468.01955178877,3487.90158047464
"LOC100246058",3.01221148219415,15.0550747650861,22.0806954613066,10.0371268502867
"LOC100249310",6559.5925377248,4509.4967279688,4586.76264809869,4825.85058961786
"LOC100240964",22.0895508694238,20.0734330201149,20.0733595102787,36.1336566610322
"LOC100242476",77.3134280429832,341.248361341952,296.082052776611,443.641006782673
"LOC109122689",64.2605116201419,32.1174928321838,34.1247111674738,26.0965298107455
"LOC100259585",87.3541329836304,288.053763838648,336.228771797168,391.447947161182
"LOC100261329",25.1017623516179,20.0734330201149,20.0733595102787,17.0631156454874
"LOC100257973",59.2401591498183,100.367165100574,89.3264498207403,124.460372943555
"LOC100264868",7.02849345845302,17.0624180670976,15.055019632709,11.0408395353154
"LOC100254571",1113.51417791777,1433.2431176362,2051.49734195048,2536.38195506746
"LOC104879262",208.846662765461,154.565434254884,110.403477306533,143.5309139591
"LOC100244152",979.972802207164,867.172306468962,773.828009121244,1062.93173344536
"LOC100266496",6208.16786480215,4496.44899650573,4549.62693300467,4531.76277290446
"LOC100256346",1163.71770262101,1581.78652198505,1951.13054439909,1617.98484826622
"LOC100256197",2144.69457532224,1418.18804287111,1585.79540131202,1585.8660423453
"LOC100261292",2026.2142570226,1461.34592386436,1974.21490783591,1439.32399033112
"LOC100246052",4706.07840568133,4991.25912045156,5447.90977108964,5047.6710930092
