"","CO_A","CO_B","A1_A","A1_B"
"LOC100256691",46.732859318841,22.8491308980932,33.7833680284495,133.281318936015
"LOC100260987",427.55594695961,207.629059030499,94.3947047853736,376.967312513057
"LOC100255908",291.334633625966,172.858642446444,166.929583199398,430.677694770855
"LOC100245960",1414.91188958959,1872.63529316981,3085.21640377458,1457.14277791987
"LOC109122198",12.9261100243603,9.93440473830139,13.9107985999498,11.9356405017327
"LOC100264881",2478.83017621002,2240.20826848696,1769.6523076079,1916.66493723657
"LOC100854039",73.5793955232816,40.7310594270357,54.6495659283742,302.369559377228
"LOC104878506",439.48774082825,207.629059030499,35.7706249712995,339.171117590904
"LOC100265502",5689.47704302997,5692.4139150467,1892.8622380646,2259.81460166139
"LOC104878525",133.238364866483,98.3506069091837,10.9299131856748,107.420764515594
"LOC104878526",1394.03125031947,1865.681209853,1646.4423771512,945.899509762316
"LOC104878461",19.8863231144004,15.8950475812822,1.98725694284997,33.8176480882426
"LOC100256458",7.95452924576018,16.8884880551124,22.8534548427747,45.7532885899753
"LOC104878462",472.300173967011,706.336176893229,408.381301755669,197.932704987067
"LOC100855363",32.8124331387607,25.8294523195836,83.4647915996988,66.6406594680075
"LOC104878570",149.147423358003,137.094785388559,64.585850642624,147.206232854703
"LOC100853094",258.522200487206,336.776320628417,354.72536429872,301.37492266875
"LOC100261676",593.606744964853,260.281404143496,121.222673513848,483.393440320174
"LOC104878557",73.5793955232816,65.5670712727892,18.8789409570747,48.7371987154085
"LOC100261609",436.50479236109,280.150213620099,8.94265624282487,169.088240441213
"LOC100854305",341.050441411968,303.992784992022,80.4839061854238,257.610907495731
"LOC100854341",532.953459465932,725.211545896001,506.750520426742,297.39637583484
"LOC100852896",51.7044400974412,44.7048213223562,134.139843642373,73.6031164273516
"LOC100855238",2047.29696462753,2520.35848210706,2827.86662967551,1610.31683102544
"LOC100852649",112.357725596363,55.6326665344878,11.9235416570998,74.5977531358293
"LOC100243438",122.300887153563,150.009511548351,491.846093355368,305.353469502661
"LOC104878515",35.7953816059208,39.7376189532056,33.7833680284495,35.8069215051981
"LOC104878618",89.488454014802,113.252214016636,223.566406070622,147.206232854703
"LOC100853787",2.98294846716007,15.8950475812822,0,18.8980974610768
"LOC100853039",12.9261100243603,14.9016071074521,7.94902777139988,67.6352961764853
"LOC100854109",471.305857811291,470.890784595486,203.693836642122,382.935132763924
"LOC100247491",38.7783300730809,23.8425713719233,43.7196527426994,47.7425620069308
"LOC100242847",133.238364866483,54.6392260606576,8.94265624282487,55.6996556747526
"LOC100267732",49.7158077860011,29.8032142149042,170.904097085097,152.179416397092
"LOC100852732",57.6703370317613,28.809773741074,59.6177082854991,92.5012138884284
"LOC100242139",2872.57937387514,4119.79764497359,375.591562198644,384.924406180879
"LOC100248249",339.061809100528,180.806166237085,277.222343527571,425.704511228466
"LOC100853336",110.369093284922,212.59626139965,155.999670013723,54.7050189662748
"LOC100264315",111.363409440642,73.5145950634303,1076.09963455326,627.615763049444
"LOC104878694",288.351685158806,163.917678181973,57.6304513426491,255.621634078775
"LOC100854016",6.96021309004016,8.94096426447125,3.97451388569994,21.8820075865099
"LOC104878720",2243.17724730437,2274.97868507102,1300.65966909531,2378.17636997024
"LOC109122280",34.8010654502008,30.7966546887343,17.8853124856497,16.9088240441213
"LOC100249655",112.357725596363,70.5342736419399,60.6113367569241,124.329588559716
"LOC100854531",169.033746472404,129.147261597918,361.680763598695,647.508497218999
"LOC100854373",174.999643406724,137.094785388559,133.146215170948,180.029244234468
"LOC104878729",9.94316155720022,27.8163332672439,15.8980555427998,19.8927341695545
"LOC100852694",1013.2081626787,1211.99737807277,419.311214941344,561.969740289914
"LOC100253807",239.630193528525,209.615939978159,430.241128127019,368.015582136758
"LOC100853587",10.9374777129202,5.96064284298083,89.4265624282487,47.7425620069308
"LOC100853740",4135.36089163957,4354.2495967975,3742.00482338649,4031.26257946022
"LOC100853626",288.351685158806,182.793047184746,110.292760328173,646.513860510521
"LOC100264340",234.658612749925,221.537225664121,155.006041542298,392.881499848701
"LOC100853521",17.8976908029604,15.8950475812822,6.9553992999749,102.447580973206
"LOC100264431",8855.37968284252,10197.6664638664,8779.70117351117,8611.56462200014
"LOC104878333",1510.36624053871,2244.18203038228,3564.14532700142,1664.02721328323
"LOC100245386",1241.90087849431,1342.13808014452,1034.36723875341,821.5699212026
"LOC100253894",4308.37190273486,4771.49459580616,4894.61385023948,2391.10664718045
"LOC100248802",24641.1429710536,27412.002994395,12320.9930456698,7850.66754001468
"LOC100257414",4239.76408799017,4218.14825188277,2112.45413024952,2378.17636997024
"LOC100260773",18.8920069586804,9.93440473830139,56.6368228712242,30.8337379628095
"LOC104878053",65.6248662775215,57.6195474821481,42.7260242712744,37.7961949221535
"LOC100263199",64.6305501218014,6.95408331681097,10.9299131856748,45.7532885899753
"LOC100247817",74.5737116790017,59.6064284298083,70.547621471174,147.206232854703
"LOC100242679",369.885609927848,285.11741598925,52.6623089855242,313.310563170483
"LOC100264733",652.271398152335,548.379141554237,970.775016582211,967.781517348826
"LOC100265481",2680.67635582118,2290.8737326523,5331.81037766647,2813.82724828348
"LOC100855254",398.720778443729,471.884225069316,388.508732327169,342.155027716337
